English	Swedish
Yokohama	Yokohama
Yom Kippur	Jom kippur
Yom Kippur War	Oktoberkriget
York	York
Yosemite National Park	Yosemite nationalpark
Young's modulus	Elasticitetsmodul
Ytterbium	Ytterbium
Yttrium	Yttrium
Yuan Dynasty	Yuandynastin
Yugoslavia	Jugoslavien
Yugoslavia	Kategori:Jugoslavien
Yukon	Yukon
Yunnan	Yunnan
Yuri Gagarin	Jurij Gagarin
Z	Z
Zachary Taylor	Zachary Taylor
Zagreb	Zagreb
Zambezi	Zambesi
Zambia	Zambia
Zambia	Kategori:Zambia
Zanzibar	Zanzibar
Zaragoza	Zaragoza
Zealand	Själland
Zebra	Sebror
Zen	Zen
Zenith	Zenit
Zeno of Citium	Zenon från Kition
Zeno of Elea	Zenon från Elea
Zeta	Zeta
Zeus	Zeus
Zeus (disambiguation)	Zeus
Ziggurat	Ziqqurat
Zimbabwe	Zimbabwe
Zimbabwe	Kategori:Zimbabwe
Zinc	Zink
Zionism	Sionism
Zirconium	Zirkonium
Zodiac	Zodiaken
Zombie	Zombie
Zoo	Djurpark
Zoology	Zoologi
Zoology	Kategori:Zoologi
Zoroaster	Zarathustra
Zoroastrianism	Zoroastrism
Zulu	Zulu
